序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
2213,92年,苗栗縣,"18,061","10,816","2,717","1,972","1,701",330,239,208,74,0,0,2
2214,"103年 11月",宜蘭縣,"5,360","2,827","1,114",614,507,129,42,22,26,3,8,69
2215,92年,彰化縣,"48,957","26,273","7,517","6,575","5,839",357,796,258,201,0,0,"1,142"
2216,"103年 11月",新竹縣,"6,183","2,987","1,955",664,403,16,58,38,29,1,0,32
2217,92年,南投縣,"18,250","8,054","4,120","2,497","2,602",271,246,131,76,0,0,253
2218,"103年 11月",苗栗縣,"6,415","2,975","1,632",691,775,84,133,33,46,2,1,42
2219,92年,雲林縣,"30,317","13,983","7,952","2,906","3,701",141,267,48,348,0,0,971
2220,"103年 11月",彰化縣,"13,321","7,079","1,847","1,388","1,677",584,266,44,57,6,1,371
2221,92年,嘉義縣,"17,240","7,069","4,896","2,666","1,769",296,295,171,36,0,0,41
2222,"103年 11月",南投縣,"6,086","3,444","1,066",835,423,57,148,39,34,2,2,35
2223,92年,屏東縣,"15,199","6,174","2,746","2,073","3,401",117,279,83,32,0,0,295
2224,"103年 11月",雲林縣,"6,178","2,509","2,193",549,559,59,219,32,24,18,0,17
2225,92年,臺東縣,"15,302","8,609","2,250","2,930","1,208",115,94,43,5,0,0,49
